Notes,County,State,FIPS,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,Manitowoc County, WI,55071,16,79536,Unreliable,11.5,32.7,5,0.00%
,Marathon County, WI,55073,18,135603,Unreliable,7.9,21,3.1,0.00%
,Milwaukee County, WI,55079,112,951448,11.8,9.6,14,1.1,0.20%
,Outagamie County, WI,55087,26,184526,14.1,9.2,20.6,2.8,0.10%
,Ozaukee County, WI,55089,13,88314,Unreliable,7.8,25.2,4.1,0.00%
,Racine County, WI,55101,32,195140,16.4,11.2,23.1,2.9,0.10%
,Rock County, WI,55105,26,161620,16.1,10.5,23.6,3.2,0.10%
,St. Croix County, WI,55109,10,88029,Unreliable,5.4,20.9,3.6,0.00%
,Sheboygan County, WI,55117,20,115427,17.3,10.6,26.8,3.9,0.00%
,Walworth County, WI,55127,12,102959,Unreliable,6,20.4,3.4,0.00%
,Washington County, WI,55131,21,134296,15.6,9.7,23.9,3.4,0.00%
,Waukesha County, WI,55133,56,398424,14.1,10.6,18.3,1.9,0.10%
,Winnebago County, WI,55139,30,169886,17.7,11.9,25.2,3.2,0.10%
,Wood County, WI,55141,11,73107,Unreliable,7.5,26.9,4.5,0.00%
,Albany County, WY,56001,10,38256,Unreliable,12.5,48.1,8.3,0.00%
,Fremont County, WY,56013,19,40242,Unreliable,28.4,73.7,10.8,0.00%
,Laramie County, WY,56021,25,98136,25.5,16.5,37.6,5.1,0.10%
,Natrona County, WY,56025,17,81039,Unreliable,12.2,33.6,5.1,0.00%
,Park County, WY,56029,10,29353,Unreliable,16.3,62.7,10.8,0.00%
Total,,,,44965,323127513,13.9,13.8,14,0.1,100.00%
---,,,,,,,,,,
"Dataset: Underlying Cause of Death, 1999-2017",,,,,,,,,,
Query Parameters:,,,,,,,,,,
Title: Suicide By county and Year US,,,,,,,,,,
Injury Intent: Suicide,,,,,,,,,,
Year/Month: 2016,,,,,,,,,,
Group By: County,,,,,,,,,,
Show Totals: True,,,,,,,,,,
Show Zero Values: True,,,,,,,,,,
Show Suppressed: False,,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,,,,
---,,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information.,,,,,,,,,,
---,,,,,,,,,,
"Query Date: Sep 30, 2019 4:14:17 PM",,,,,,,,,,
---,,,,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death",,,,,,,,,,
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as",,,,,,,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,,,,,,
"at http://wonder.cdc.gov/ucd-icd10.html on Sep 30, 2019 4:14:17 PM",,,,,,,,,,
---,,,,,,,,,,
Messages:,,,,,,,,,,
"1. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use",,,,,,,,,,
Quick Options above to show suppressed rows.,,,,,,,,,,
---,,,,,,,,,,
Footnotes:,,,,,,,,,,
1. Data are not available for this area for all of the requested years. See Caveats below for more information.,,,,,,,,,,
---,,,,,,,,,,
Caveats:,,,,,,,,,,
"1. Data for Prince of Wales-Outer Ketchikan Census Area, AK (FIPS code 02201), Skagway-Hoonah-Angoon Census Area, AK (FIPS code",,,,,,,,,,
"02232) and Wrangell-Petersburg Census Area, AK (FIPS code 02280) are only available for 2013 and earlier; for computational",,,,,,,,,,
"purposes, counts and population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year",,,,,,,,,,
"requests for this entity do not include any data for years after 2013, only data for 2013 and earlier. More information:",,,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Alaska2014.,,,,,,,,,,
"2. Data for Bedford city, Va. (FIPS code 51515) are only available for 2013 and earlier; for computational purposes, counts and",,,,,,,,,,
"population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year requests for this entity do",,,,,,,,,,
"not include any data for years after 2014, only data for 2013 and earlier. More information:",,,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Bedford.,,,,,,,,,,
"3. Death rates for Clifton Forge city, Virginia (FIPS code 51560) are available only for 1999-2000. For 2001 and beyond, death",,,,,,,,,,
"counts and population estimates for Clifton Forge city have been combined with those for Alleghany county, Virginia (FIPS code",,,,,,,,,,
"51005). Death counts and population estimates for this entity from multi-year requests, only reflect data from 1999 and 2000;",,,,,,,,,,
for 2001 and beyond they have been set to zero. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Clifton Forge.,,,,,,,,,,
"4. Deaths and population estimates are shown separately from the adjacent counties for Carson City, Nevada (FIPS code 32510).",,,,,,,,,,
5. Deaths and population estimates are reported separately for Baltimore City (FIPS code 24510) and Baltimore county (FIPS code,,,,,,,,,,
24005).,,,,,,,,,,
6. Deaths and population estimates are reported separately for St. Louis City (FIPS code 29510) and county (FIPS code 29189).,,,,,,,,,,
7. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality.,,,,,,,,,,
8. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable.,,,,,,,,,,
9. The method used to calculate 95% confidence intervals is documented here: More information:,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Confidence-Intervals.,,,,,,,,,,
10. The method used to calculate standard errors is documented here: More information:,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd.html#Standard-Errors.,,,,,,,,,,
"11. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017",,,,,,,,,,
"postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July",,,,,,,,,,
"1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for",,,,,,,,,,
"year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS",,,,,,,,,,
